n,e,d
15.32,5.06,1190
15.32,5.06,1191
15.32,5.06,1192
15.32,5.06,1193
15.32,5.06,1194
15.32,5.06,1195
15.32,5.06,1196
15.32,5.06,1197
15.32,5.06,1198
15.32,5.06,1199
15.32,5.06,1200
15.32,5.06,1201
15.32,5.06,1202
15.32,5.06,1203
15.32,5.06,1204
15.32,5.06,1205
15.32,5.06,1206
15.32,5.06,1207
15.32,5.06,1208
15.32,5.06,1209
15.32,5.06,1210
15.32,5.06,1211
15.32,5.06,1212
15.32,5.06,1213
15.32,5.06,1214
15.32,5.06,1215
15.32,5.06,1216
15.32,5.06,1217
15.32,5.06,1218
15.32,5.06,1219
15.32,5.06,1220
15.32,5.06,1221
15.32,5.06,1222
15.32,5.06,1223
15.32,5.06,1224
15.32,5.06,1225
15.32,5.06,1226
15.32,5.06,1227
15.32,5.06,1228
15.32,5.06,1229
15.32,5.06,1230
15.32,5.06,1231
15.32,5.06,1232
15.32,5.06,1233
15.32,5.06,1234
15.32,5.06,1235
15.32,5.06,1236
15.32,5.06,1237
15.32,5.06,1238
15.32,5.06,1239
15.32,5.06,1240
15.32,5.06,1241
15.32,5.06,1242
15.32,5.06,1243
15.32,5.06,1244
15.32,5.06,1245
15.32,5.06,1246
15.32,5.06,1247
15.32,5.06,1248
15.32,5.06,1249
15.32,5.06,1250
15.32,5.06,1251
15.32,5.06,1252
15.32,5.06,1253
15.32,5.06,1254
15.32,5.06,1255
15.32,5.06,1256
15.32,5.06,1257
15.32,5.06,1258
15.32,5.06,1259
15.32,5.06,1260
15.32,5.06,1261
15.32,5.06,1262
15.32,5.06,1263
15.32,5.06,1264
15.32,5.06,1265
15.32,5.06,1266
15.32,5.06,1267
15.32,5.06,1268
15.32,5.06,1269
15.32,5.06,1270
15.32,5.06,1271
15.32,5.06,1272
15.32,5.06,1273
15.32,5.06,1274
15.32,5.06,1275
15.32,5.06,1276
15.32,5.06,1277
15.32,5.06,1278
15.32,5.06,1279
15.32,5.06,1280
15.32,5.06,1281
15.32,5.06,1282
15.32,5.06,1283
15.32,5.06,1284
15.32,5.06,1285
15.32,5.06,1286
15.32,5.06,1287
15.32,5.06,1288
15.32,5.06,1289
15.32,5.06,1290
15.32,5.06,1291
15.32,5.06,1292
15.32,5.06,1293
15.32,5.06,1294
15.32,5.06,1295
15.32,5.06,1296
15.32,5.06,1297
15.32,5.06,1298
15.32,5.06,1299
15.32,5.06,1300
15.32,5.06,1301
15.32,5.06,1302
15.32,5.06,1303
15.32,5.06,1304
15.32,5.06,1305
15.32,5.06,1306
15.32,5.06,1307
15.32,5.06,1308
15.32,5.06,1309
15.32,5.06,1310
15.32,5.06,1311
15.32,5.06,1312
15.32,5.06,1313
15.32,5.06,1314
15.32,5.06,1315
15.32,5.06,1316
15.32,5.06,1317
15.32,5.06,1318
15.32,5.06,1319
15.32,5.06,1320
15.32,5.06,1321
15.32,5.06,1322
15.32,5.06,1323
15.32,5.06,1324
15.32,5.06,1325
15.32,5.06,1326
15.32,5.06,1327
15.32,5.06,1328
15.32,5.06,1329
15.32,5.06,1330
15.32,5.06,1331
15.32,5.06,1332
15.32,5.06,1333
15.32,5.06,1334
15.32,5.06,1335
15.32,5.06,1336
15.32,5.06,1337
15.32,5.06,1338
15.32,5.06,1339
15.32,5.06,1340
15.32,5.06,1341
15.32,5.06,1342
15.32,5.06,1343
15.32,5.06,1344
15.32,5.06,1345
15.32,5.06,1346
15.32,5.06,1347
15.32,5.06,1348
15.32,5.06,1349
15.32,5.06,1350
15.32,5.06,1351
15.32,5.06,1352
15.32,5.06,1353
15.32,5.06,1354
15.32,5.06,1355
15.32,5.06,1356
15.32,5.06,1357
15.32,5.06,1358
15.32,5.06,1359
